attrictions,type,reviews,html,image,position
Arab Street,Neighbourhoods,2208,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324757-Reviews-Arab_Street-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/11/d1/a7/a8/caption.jpg,"Singapore 199745, Singapore"
ArtScience Museum at Marina Bay Sands,Speciality Museums,1526,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2138895-Reviews-ArtScience_Museum_at_Marina_Bay_Sands-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/12/0e/00/0b/singapore-art-science.jpg,"10 Bayfront Avenue Marina Bay Sands, Singapore 018956, Singapore"
Asian Civilisations Museum,History Museums,2109,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310896-Reviews-Asian_Civilisations_Museum-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-s/01/fc/53/a5/asian-civilisations-museum.jpg,"1 Empress Place Empress Place Building, Singapore 179555, Singapore"
Battlebox,Historic Sites,2049,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d9859121-Reviews-Battlebox-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/12/bb/9c/ba/battlebox.jpg,"2 Cox Terrace | Fort Canning Park, Singapore 179622, Singapore"
Buddha Tooth Relic Temple and Museum,Sacred & Religious Sites,6237,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1438273-Reviews-Buddha_Tooth_Relic_Temple_and_Museum-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/03/cd/dc/ac/buddha-tooth-relic-temple.jpg,"288 South Bridge Road, Singapore 058840, Singapore"
Chijmes,Historic Sites,694,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d338376-Reviews-Chijmes-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/0e/a9/2e/cf/photo1jpg.jpg,"30 Victoria Street Chijmes, Singapore 187996, Singapore"
Chinatown,Neighbourhoods,13605,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0d/15/96/81/photo1jpg.jpg,"Crot | Trengganu, Singapore 048942, Singapore"
Chinese and Japanese Gardens,Gardens,730,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d379346-Reviews-Chinese_and_Japanese_Gardens-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/09/57/2f/3c/chinese-and-japanese.jpg,"1 Chinese Garden Road Chinese Garden, Singapore 619795, Singapore"
Clarke Quay,Shopping Malls,3231,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324756-Reviews-Clarke_Quay-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/08/2e/d8/69/clarke-quay-at-night.jpg,"3 River Valley Road Clarke Quay | Nearest Train Stattion: NE5 Clarke Quay MRT and DT20 Fort Canning Station, Singapore 179019, Singapore"
East Coast Park,Beaches,1158,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317426-Reviews-East_Coast_Park-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/07/d2/0c/32/east-coast-park.jpg,"Along East Coast Parkway and East Coast Park Service Road, Singapore 455486, Singapore"
